participant,fold_p,language_a,language_b,language_c,age,gender,ethnic,occupation,education_a,education_b,dwelling,citizen,residence_length,annoyance_freq,quality,wnss,pss,who,panas_pos,panas_neg
ARAUS_00001,1,1,0,0,28,0,1,1,6,7,1,1,1,6,6,43,24,13,38,30
ARAUS_00002,2,1,1,0,22,1,1,1,5,7,1,1,1,5,3,25,21,15,30,32
ARAUS_00003,3,0,-1,-1,26,1,1,1,7,9,1,1,1,8,0,41,29,6,18,35
ARAUS_00004,4,0,-1,-1,26,0,1,2,7,-1,1,1,1,5,5,31,14,18,39,31
ARAUS_00005,5,1,1,0,21,0,1,1,5,7,4,1,1,3,5,27,21,10,21,22
ARAUS_00006,1,1,0,0,22,1,1,1,6,7,1,1,0,2,5,22,24,13,41,25
ARAUS_00007,2,1,1,0,25,0,1,1,6,7,1,1,1,8,6,25,21,14,28,28
ARAUS_00008,3,1,1,1,27,0,1,1,6,7,1,1,1,3,8,33,19,15,37,28
ARAUS_00009,4,0,-1,-1,24,0,1,1,6,7,1,1,1,2,8,31,22,17,31,18
ARAUS_00010,5,1,1,0,25,1,1,1,7,9,1,1,1,1,7,34,12,15,27,13
ARAUS_00011,1,1,1,1,24,0,1,1,6,7,1,1,1,7,2,38,19,11,31,24
ARAUS_00012,2,1,0,0,29,0,0,2,7,-1,1,0,1,7,5,36,19,19,32,13
ARAUS_00013,3,1,0,0,33,1,1,2,7,-1,1,0,1,8,7,36,18,20,33,17
ARAUS_00014,4,1,1,1,24,1,1,1,6,7,1,1,1,8,3,36,27,10,27,30
ARAUS_00015,5,1,1,0,23,0,1,1,5,7,1,1,1,3,8,22,25,13,31,24
ARAUS_00016,1,1,1,1,27,0,1,1,6,7,1,1,1,5,7,33,23,10,22,26
ARAUS_00017,2,1,1,1,22,1,1,1,5,7,1,1,1,5,6,46,15,11,31,24
ARAUS_00018,3,1,1,0,22,0,1,1,5,7,1,1,1,4,6,27,13,18,37,22
ARAUS_00019,4,1,0,0,22,0,0,1,5,7,2,0,0,8,6,34,24,14,31,19
ARAUS_00020,5,1,1,0,46,1,1,2,3,-1,4,1,1,4,5,35,14,20,29,14
ARAUS_00021,1,1,1,0,22,1,1,1,5,7,1,1,1,7,2,43,28,15,39,28
ARAUS_00022,2,1,1,0,28,0,1,2,7,-1,1,1,1,6,5,33,19,10,36,19
ARAUS_00023,3,1,0,0,27,1,2,1,5,7,1,1,1,2,8,50,21,14,26,19
